popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,Expected,Id
59,193695,False,0.687,0.748,3,-4.54,1,0.0785,0.24,0.0,0.373,0.872,88.944,4,acoustic,1461
33,377933,False,0.25,0.29,2,-16.253,1,0.0333,0.885,0.0,0.0653,0.452,75.157,4,classical,4596
8,85000,False,0.636,0.203,3,-14.286,1,0.0412,0.964,0.326,0.171,0.717,118.5,4,classical,5960
59,191489,False,0.774,0.783,0,-4.247,1,0.0857,0.0173,0.0,0.19,0.206,93.959,4,hip-hop,3689
0,238693,False,0.652,0.792,11,-5.771,0,0.0384,0.00608,0.261,0.0718,0.484,107.992,4,electronic,586
51,286950,False,0.578,0.742,7,-5.494,1,0.026,0.00511,3.52e-06,0.117,0.2,107.028,4,acoustic,277
0,84973,False,0.387,0.786,11,-4.127,1,0.0436,0.0195,0.0,0.123,0.462,149.806,3,rock,177
54,219437,False,0.608,0.638,11,-6.008,0,0.0292,0.581,0.0172,0.448,0.439,140.109,4,classical,747
58,482983,False,0.773,0.377,9,-12.653,1,0.0455,0.655,0.829,0.122,0.0363,119.975,4,electronic,2694
0,200987,False,0.617,0.298,6,-9.527,1,0.083,0.684,0.0,0.393,0.579,78.016,3,hip-hop,3377
0,203906,False,0.409,0.71,6,-6.215,1,0.0398,0.15,0.285,0.171,0.376,107.566,4,jazz,4841
0,133506,False,0.548,0.412,5,-10.248,1,0.0333,0.807,0.934,0.127,0.325,79.512,4,jazz,721
0,219226,False,0.403,0.196,3,-20.749,1,0.049,0.993,0.884,0.113,0.548,99.506,4,classical,1081
46,219093,False,0.642,0.408,10,-8.168,1,0.0396,0.729,0.0,0.185,0.411,119.81,4,acoustic,4482
53,214186,False,0.649,0.706,8,-7.209,0,0.031,8.45e-05,0.831,0.163,0.0736,128.032,4,electronic,5321
0,256040,False,0.559,0.79,2,-5.057,1,0.0535,0.0507,0.0,0.269,0.589,101.946,4,jazz,1939
57,219758,True,0.706,0.695,0,-7.103,0,0.0541,0.461,0.0,0.306,0.489,141.974,4,hip-hop,2983
0,210639,False,0.392,0.496,7,-7.632,1,0.114,0.664,0.000114,0.34,0.589,72.024,4,rock,1113
0,227920,False,0.334,0.47,7,-12.588,0,0.0322,0.941,0.967,0.127,0.623,51.206,4,jazz,2645
32,136543,False,0.539,0.675,2,-6.987,1,0.0709,0.188,0.0,0.198,0.719,142.041,4,acoustic,3818
1,391560,False,0.513,0.296,7,-15.81,1,0.0496,0.99,0.803,0.158,0.804,84.367,4,classical,3369
35,163813,True,0.838,0.699,1,-6.204,1,0.227,0.267,0.0,0.238,0.862,114.999,4,electronic,403
0,143026,False,0.499,0.304,0,-11.543,1,0.0632,0.81,0.0,0.0546,0.521,129.321,4,jazz,4673
0,246733,False,0.61,0.889,4,-5.452,0,0.0585,0.000794,0.0865,0.0657,0.506,139.903,4,rock,2192
38,209789,False,0.489,0.414,9,-10.871,0,0.0297,0.799,3.11e-06,0.228,0.35,151.159,4,jazz,918
0,274960,False,0.212,0.0622,1,-25.06,1,0.0386,0.99,0.888,0.103,0.111,72.938,3,classical,5854
26,253600,False,0.592,0.773,7,-7.093,1,0.0281,0.223,0.00057,0.116,0.729,121.097,4,acoustic,3346
0,148927,True,0.771,0.526,1,-6.844,1,0.0718,0.0804,0.0,0.663,0.182,104.036,4,hip-hop,2963
0,366213,False,0.418,0.116,5,-18.397,1,0.0331,0.966,0.648,0.138,0.0861,74.923,3,jazz,878
0,115240,False,0.484,0.332,1,-10.312,1,0.037,0.787,0.0,0.373,0.683,134.999,4,jazz,2182
26,236293,False,0.643,0.407,0,-6.086,1,0.0355,0.414,0.000385,0.116,0.332,132.449,3,acoustic,1380
36,221070,False,0.63,0.301,1,-6.952,1,0.0288,0.877,0.0,0.12,0.395,104.959,4,acoustic,5245
40,180000,False,0.233,0.0637,7,-22.57,1,0.0373,0.918,0.947,0.118,0.268,135.338,4,classical,4915
32,229180,False,0.839,0.533,2,-9.59,1,0.157,0.00716,0.0,0.106,0.687,100.018,4,electronic,1859
0,229033,False,0.705,0.567,0,-7.054,1,0.0306,0.0199,0.0,0.0937,0.562,105.96,4,rock,4895
55,246743,True,0.72,0.677,2,-7.595,1,0.0917,0.0093,0.003,0.0566,0.229,110.026,4,electronic,5392
0,229517,False,0.492,0.59,4,-4.032,0,0.0313,0.00109,0.0023,0.271,0.179,117.637,4,rock,1603
42,155050,False,0.486,0.0745,10,-14.271,1,0.0599,0.922,0.0,0.104,0.396,145.912,4,acoustic,5950
0,118466,True,0.904,0.601,2,-5.561,1,0.198,0.0305,0.0,0.615,0.761,87.037,4,hip-hop,4923
17,59733,False,0.392,0.127,7,-28.807,1,0.0388,0.985,0.935,0.188,0.626,146.442,4,classical,4919
68,175714,False,0.733,0.812,5,-3.505,0,0.272,0.0872,0.0,0.136,0.535,167.995,4,hip-hop,4032
1,175373,False,0.765,0.63,7,-9.751,1,0.0304,0.0467,3.06e-05,0.223,0.963,113.967,4,rock,1320
0,135760,False,0.478,0.201,7,-16.79,1,0.0332,0.919,0.0,0.0854,0.857,136.47,4,jazz,2213
62,216699,False,0.709,0.528,0,-11.127,0,0.0407,0.0458,0.896,0.128,0.113,124.027,4,electronic,3549
51,166229,False,0.248,0.42,9,-11.747,1,0.0274,0.587,0.00473,0.108,0.218,84.013,3,classical,1150
0,505663,False,0.316,0.108,1,-20.37,1,0.0416,0.994,0.898,0.0957,0.0615,84.996,4,classical,817
0,163040,False,0.574,0.414,9,-7.16,0,0.0495,0.842,0.0,0.172,0.867,77.968,4,jazz,5540
9,85960,False,0.308,0.128,7,-16.179,0,0.0368,0.929,0.956,0.124,0.294,103.577,4,classical,1073
0,147293,False,0.648,0.258,6,-11.995,0,0.0554,0.627,0.0,0.293,0.776,131.74,4,jazz,4605
0,268733,False,0.401,0.175,2,-12.22,1,0.0314,0.927,2.1e-06,0.103,0.29,68.049,4,rock,4795
67,182738,False,0.788,0.87,9,-5.217,1,0.177,0.123,1.43e-05,0.0692,0.884,109.974,4,hip-hop,1154
56,246345,False,0.439,0.217,2,-13.166,1,0.0413,0.933,0.0,0.126,0.373,144.413,4,acoustic,5053
64,173871,False,0.732,0.668,1,-5.588,0,0.038,0.00113,2.5e-05,0.0775,0.0792,127.995,4,electronic,4485
62,232533,False,0.699,0.909,5,-6.72,0,0.236,0.13,0.000195,0.34,0.691,171.877,4,electronic,2442
39,187946,True,0.613,0.957,7,-4.824,1,0.0552,0.0215,0.00181,0.204,0.728,179.96,4,electronic,3532
58,237826,False,0.542,0.749,6,-8.333,0,0.0277,0.173,0.942,0.315,0.674,94.031,4,jazz,175
69,315426,False,0.184,0.00527,1,-37.264,0,0.0432,0.995,0.887,0.173,0.151,170.612,3,classical,716
57,192000,False,0.755,0.891,7,-5.516,1,0.174,0.273,0.0412,0.12,0.515,160.021,4,electronic,3632
63,171133,False,0.57,0.873,5,-5.188,0,0.07,0.00853,0.0,0.365,0.236,125.086,4,electronic,943
0,177500,False,0.859,0.489,3,-12.438,1,0.0414,0.127,0.0124,0.143,0.544,119.991,4,jazz,1025
53,174677,False,0.607,0.178,11,-15.471,1,0.0499,0.737,0.0,0.387,0.422,127.956,4,acoustic,1839
62,260812,False,0.571,0.818,5,-3.926,0,0.0857,0.0966,0.0,0.16,0.781,160.036,4,hip-hop,5148
0,240773,False,0.579,0.409,0,-10.095,1,0.0268,0.624,1.83e-05,0.18,0.526,109.417,3,jazz,4709
0,212440,False,0.488,0.627,9,-7.266,0,0.0295,0.429,0.000133,0.114,0.482,78.979,4,rock,3765
0,180160,False,0.74,0.535,5,-6.103,0,0.0526,0.919,0.556,0.319,0.83,153.63,4,jazz,5367
82,175426,False,0.72,0.791,1,-4.689,1,0.124,0.0384,0.0,0.157,0.756,102.071,4,rock,3274
35,265400,False,0.642,0.731,1,-6.796,1,0.0327,0.000317,0.00081,0.15,0.299,125.013,4,electronic,2006
1,257066,False,0.691,0.686,7,-7.465,0,0.0493,0.000647,0.00456,0.106,0.666,87.312,4,rock,1789
1,139279,False,0.621,0.85,2,-4.203,1,0.0311,0.0221,1.52e-06,0.0581,0.923,89.497,4,rock,5161
82,329733,False,0.592,0.767,9,-2.788,0,0.027,0.0021,0.00165,0.127,0.328,96.483,4,rock,306
24,90703,False,0.483,0.801,1,-6.18,1,0.472,0.323,0.0,0.179,0.587,81.884,1,electronic,5524
29,272320,False,0.459,0.57,4,-5.672,1,0.0293,0.199,0.0,0.137,0.361,72.978,4,acoustic,2878
39,206896,False,0.467,0.761,9,-4.987,1,0.0342,0.21,1.06e-05,0.0626,0.123,144.997,4,electronic,1451
68,181176,False,0.786,0.667,5,-8.272,1,0.054,0.0112,0.053,0.074,0.688,102.046,4,hip-hop,2571
49,400865,False,0.927,0.207,7,-11.119,0,0.116,0.0476,0.851,0.107,0.127,103.007,4,electronic,3688
73,258413,False,0.532,0.874,9,-5.183,0,0.0482,0.00842,0.012,0.452,0.361,91.038,4,electronic,4775
58,293489,False,0.496,0.873,4,-7.547,1,0.0362,0.00335,0.896,0.099,0.0458,130.0,4,electronic,2850
59,215800,False,0.706,0.913,11,-3.284,0,0.139,0.115,0.0,0.256,0.712,149.886,4,hip-hop,3418
0,142945,False,0.941,0.618,1,-7.702,1,0.079,0.0112,0.0,0.0911,0.489,99.98,4,hip-hop,572
58,237176,False,0.752,0.518,0,-8.798,0,0.207,0.0422,0.0,0.196,0.548,85.058,4,hip-hop,3919
62,186600,True,0.717,0.699,5,-5.665,0,0.251,0.223,0.0,0.139,0.689,100.147,4,hip-hop,3242
0,759920,False,0.367,0.302,0,-16.454,1,0.0414,0.846,0.679,0.0729,0.356,105.35,4,classical,3447
28,312133,False,0.465,0.211,7,-14.143,1,0.0384,0.812,0.00199,0.102,0.256,83.257,4,acoustic,4015
35,152033,False,0.614,0.276,2,-13.025,1,0.0511,0.838,2.55e-06,0.0921,0.649,111.817,4,classical,2070
57,199594,False,0.322,0.213,10,-14.915,0,0.0318,0.611,0.0,0.113,0.16,160.389,4,acoustic,42
27,199093,False,0.717,0.436,7,-8.531,1,0.056,0.0569,0.0,0.11,0.319,128.112,4,acoustic,3136
82,136562,False,0.528,0.797,4,-7.487,1,0.0485,0.000391,0.011,0.14,0.751,143.785,4,rock,4511
33,157820,False,0.673,0.413,0,-8.787,0,0.0632,0.0239,7.73e-06,0.293,0.341,78.068,4,electronic,1184
0,189800,False,0.873,0.658,4,-8.031,0,0.108,0.00858,0.0061,0.0999,0.483,104.033,4,hip-hop,2616
0,158373,False,0.543,0.36,7,-9.177,1,0.179,0.727,0.0,0.228,0.595,149.431,4,jazz,2397
35,271952,False,0.73,0.533,6,-10.614,0,0.0428,0.616,0.846,0.213,0.556,106.021,4,electronic,2627
55,232500,False,0.498,0.12,0,-17.721,1,0.0487,0.851,0.0,0.171,0.338,121.187,4,acoustic,3669
66,357357,False,0.785,0.379,7,-11.446,1,0.0732,0.391,0.0161,0.267,0.182,122.043,3,jazz,4455
37,191506,False,0.491,0.185,11,-18.994,1,0.0452,0.947,0.929,0.195,0.674,90.465,4,acoustic,821
0,118840,False,0.602,0.553,11,-9.336,1,0.0328,0.108,0.0,0.0512,0.971,130.594,4,rock,3826
38,214929,True,0.613,0.879,6,-4.649,1,0.0729,0.00908,1.66e-06,0.108,0.497,76.966,4,electronic,2603
57,182442,False,0.736,0.364,1,-5.966,1,0.0349,0.741,0.0,0.0932,0.371,110.023,4,acoustic,5947
66,210116,False,0.69,0.399,8,-11.202,1,0.0576,0.202,0.0,0.247,0.311,89.975,4,hip-hop,5666
0,227240,False,0.552,0.873,0,-6.065,1,0.0464,0.00137,0.000273,0.0966,0.62,125.059,4,rock,2831
0,146773,False,0.0827,0.0134,5,-31.089,1,0.052,0.992,0.961,0.066,0.0606,81.694,5,classical,4717
0,164800,True,0.596,0.938,8,-2.165,1,0.0917,0.0148,0.000448,0.329,0.286,150.056,4,electronic,2710
0,196293,False,0.297,0.182,1,-16.929,1,0.0432,0.82,0.0,0.0986,0.163,58.201,4,jazz,2229
0,115240,False,0.484,0.332,1,-10.312,1,0.037,0.787,0.0,0.373,0.683,134.999,4,jazz,1853
1,233373,False,0.559,0.863,4,-4.704,1,0.0267,0.00229,8.29e-06,0.201,0.646,126.417,4,rock,4055
0,135053,True,0.833,0.652,11,-6.942,1,0.0762,0.00161,0.0985,0.106,0.405,158.022,4,hip-hop,4854
30,163813,False,0.57,0.454,2,-7.613,0,0.0987,0.881,0.889,0.0983,0.381,101.476,4,acoustic,527
59,215368,False,0.786,0.797,6,-4.063,1,0.0414,0.233,0.0,0.0861,0.454,95.014,4,hip-hop,5705
0,178264,False,0.626,0.809,8,-6.709,0,0.0364,0.00187,0.153,0.429,0.383,123.983,4,electronic,4942
0,459455,False,0.222,0.169,11,-22.07,0,0.0492,0.993,0.925,0.0965,0.428,58.948,4,classical,2888
0,200000,True,0.793,0.308,0,-10.414,0,0.0466,0.613,1.68e-05,0.0953,0.46,135.143,4,hip-hop,5402
0,149306,False,0.605,0.497,1,-6.676,1,0.0319,0.727,3.95e-05,0.102,0.72,126.014,4,jazz,2402
1,383426,False,0.443,0.0454,7,-26.066,1,0.0446,0.993,0.941,0.0608,0.312,76.017,4,classical,4971
33,214860,False,0.758,0.206,9,-14.68,1,0.0729,0.628,0.0,0.148,0.25,124.873,4,acoustic,2396
2,238386,False,0.733,0.859,1,-5.087,1,0.146,0.0431,0.0,0.822,0.845,170.047,4,hip-hop,4545
0,218520,False,0.73,0.939,11,-4.665,0,0.0532,0.0347,0.0,0.335,0.939,121.001,4,hip-hop,4640
0,205053,False,0.499,0.17,8,-15.412,0,0.0422,0.862,0.00108,0.085,0.269,94.45,3,jazz,3280
0,343552,False,0.104,0.0491,9,-22.883,0,0.046,0.984,0.51,0.099,0.0341,90.278,4,classical,5328
0,317280,False,0.886,0.708,4,-5.915,0,0.0911,0.107,0.0114,0.044,0.965,109.976,4,hip-hop,3020
0,172342,False,0.795,0.565,3,-4.457,0,0.0948,0.131,0.0,0.0802,0.55,87.925,4,hip-hop,4766
0,210026,False,0.226,0.382,1,-9.243,1,0.0288,0.845,0.0,0.111,0.165,81.943,4,jazz,3113
0,187107,False,0.721,0.769,7,-4.111,1,0.105,0.0922,0.0,0.0817,0.915,155.932,4,hip-hop,2100
45,185600,True,0.631,0.877,5,-4.072,0,0.0345,0.00837,1.09e-05,0.204,0.876,150.162,4,electronic,1219
0,156266,False,0.429,0.477,6,-6.225,0,0.0311,0.766,0.000638,0.16,0.327,88.534,3,jazz,1216
0,180200,False,0.25,0.228,3,-14.186,1,0.0364,0.811,0.000166,0.199,0.198,90.001,4,jazz,3553
0,192160,False,0.32,0.21,6,-15.231,1,0.0345,0.92,8.01e-05,0.138,0.208,73.196,5,jazz,4224
49,143496,True,0.591,0.637,8,-11.746,0,0.0522,0.00335,0.0,0.353,0.639,134.01,4,electronic,5877
0,192160,False,0.32,0.21,6,-15.231,1,0.0345,0.92,8.01e-05,0.138,0.208,73.196,5,jazz,2734
42,175409,True,0.742,0.664,1,-8.432,0,0.261,0.301,0.0,0.0675,0.79,91.063,4,jazz,2868
65,195210,False,0.801,0.641,11,-8.584,1,0.0455,0.0667,0.0244,0.172,0.701,124.979,4,electronic,3105
0,180200,False,0.25,0.228,3,-14.186,1,0.0364,0.811,0.000166,0.199,0.198,90.001,4,jazz,2334
0,205066,False,0.297,0.0915,3,-20.631,1,0.0325,0.94,6.85e-06,0.32,0.201,82.484,1,jazz,4520
0,166440,False,0.375,0.139,9,-19.789,0,0.0324,0.977,8.61e-06,0.0984,0.0878,75.993,3,jazz,3530
65,112352,False,0.429,0.258,7,-16.967,0,0.0549,0.957,0.893,0.115,0.0972,78.809,1,classical,5250
34,141224,False,0.538,0.828,9,-11.304,1,0.0831,0.391,0.744,0.146,0.773,128.03,4,classical,351
27,207151,True,0.316,0.879,7,-9.414,0,0.113,0.827,0.00239,0.278,0.647,88.614,4,acoustic,3091
52,251640,False,0.432,0.664,7,-4.662,1,0.0302,0.215,0.0,0.15,0.294,156.216,4,acoustic,1657
64,259293,False,0.82,0.785,5,-4.003,0,0.158,0.59,1.79e-05,0.372,0.894,140.013,4,hip-hop,54
0,175986,False,0.593,0.287,1,-12.472,1,0.0469,0.764,0.0,0.153,0.639,77.117,4,jazz,1745
80,242946,False,0.703,0.444,11,-9.331,1,0.0417,0.559,0.0,0.0973,0.712,150.96,4,rock,2239
0,180626,False,0.534,0.533,5,-6.161,0,0.047,0.5,0.0,0.0875,0.478,136.854,4,jazz,2816
36,223511,False,0.584,0.688,2,-8.888,1,0.0354,0.266,0.909,0.16,0.0374,105.013,4,electronic,4211
0,251506,False,0.664,0.744,0,-8.318,1,0.0543,0.284,0.858,0.937,0.463,95.138,4,jazz,5675
28,221090,False,0.679,0.707,2,-11.453,1,0.04,0.00634,0.855,0.18,0.258,120.007,4,electronic,228
0,243057,False,0.503,0.582,0,-4.324,1,0.0253,0.472,0.0,0.103,0.326,77.321,4,rock,3256
33,122874,False,0.586,0.702,0,-4.418,1,0.132,0.59,0.0,0.146,0.644,177.598,4,acoustic,4945
0,161880,False,0.689,0.856,5,-3.394,0,0.0813,0.0493,0.0,0.232,0.706,126.108,4,hip-hop,502
0,121160,False,0.674,0.789,8,-6.903,1,0.0676,0.00178,0.00708,0.0753,0.918,129.802,4,rock,196
5,225160,False,0.475,0.13,0,-23.447,1,0.0532,0.995,0.898,0.0963,0.781,116.459,4,classical,4910
0,158840,False,0.497,0.00428,5,-38.446,1,0.0633,0.996,0.956,0.0745,0.331,129.456,5,classical,5231
29,407226,False,0.332,0.262,2,-16.563,1,0.0347,0.876,0.0,0.164,0.443,104.04,5,classical,2543
55,207228,False,0.565,0.895,0,-5.354,1,0.04,0.194,0.0,0.101,0.592,149.919,4,acoustic,1102
0,173947,True,0.905,0.563,8,-6.135,1,0.102,0.0254,9.71e-06,0.113,0.324,106.998,4,hip-hop,1270
0,166773,True,0.789,0.71,4,-4.574,0,0.353,0.37,0.0,0.155,0.826,95.178,4,hip-hop,5205
0,223040,False,0.725,0.822,9,-10.059,1,0.0402,0.011,0.0,0.0938,0.581,127.971,4,rock,4884
55,154616,True,0.619,0.899,4,-3.914,0,0.397,0.0689,0.0,0.106,0.507,150.186,4,electronic,187
0,396773,False,0.547,0.56,0,-6.32,1,0.0241,0.0393,3.63e-06,0.0632,0.472,83.337,4,rock,4655
71,277653,False,0.638,0.535,9,-7.792,0,0.0415,0.623,0.0391,0.0837,0.504,84.947,4,electronic,2465
34,244689,False,0.677,0.537,8,-6.273,1,0.0368,0.297,0.000437,0.0863,0.373,74.001,4,electronic,1686
76,187888,False,0.576,0.679,0,-7.237,1,0.034,0.0311,0.0,0.323,0.213,121.005,4,rock,4532
85,173986,False,0.792,0.625,1,-5.609,1,0.0536,0.00776,0.0018,0.329,0.37,103.967,4,hip-hop,4830
44,203355,False,0.733,0.963,9,-5.66,1,0.052,0.0418,0.00141,0.0698,0.549,134.954,4,electronic,1596
63,356826,False,0.34,0.96,1,-5.427,1,0.0802,0.238,4.32e-06,0.0378,0.475,150.04,4,hip-hop,3714
0,171773,False,0.596,0.315,8,-9.175,1,0.0428,0.961,0.0,0.258,0.64,119.935,4,jazz,769
28,288133,False,0.658,0.678,4,-6.807,1,0.0284,0.00897,0.0,0.0914,0.63,131.976,4,acoustic,4472
0,131733,False,0.579,0.502,8,-7.57,1,0.0513,0.733,0.0,0.281,0.836,76.783,4,jazz,245
0,151333,False,0.771,0.158,6,-10.374,0,0.0621,0.895,0.0,0.144,0.504,130.072,4,jazz,5925
0,141986,False,0.242,0.0296,5,-28.611,1,0.0401,0.993,0.902,0.0751,0.0438,70.249,4,classical,2917
68,290360,False,0.779,0.854,9,-4.958,1,0.219,0.0462,0.0,0.21,0.379,91.992,4,hip-hop,963
63,182115,False,0.721,0.65,9,-5.426,0,0.0903,0.0361,0.0,0.358,0.502,156.008,4,hip-hop,2700
56,263710,False,0.41,0.221,5,-11.673,1,0.0315,0.768,0.0,0.106,0.228,139.529,3,acoustic,459
55,76453,False,0.504,0.415,8,-19.308,0,0.121,0.879,0.494,0.35,0.626,114.263,4,acoustic,849
30,161959,False,0.684,0.498,2,-9.134,1,0.0341,0.765,0.0,0.355,0.897,96.021,4,classical,48
1,234330,False,0.667,0.925,11,-7.522,0,0.0547,0.00197,0.136,0.063,0.792,126.976,4,electronic,5951
39,289733,False,0.327,0.422,5,-6.289,0,0.0398,0.803,0.00766,0.0947,0.34,145.945,4,jazz,4517
0,219720,False,0.619,0.696,7,-6.263,0,0.0315,1.93e-05,0.00555,0.38,0.727,125.984,4,rock,5808
61,220312,False,0.566,0.862,7,-6.02,0,0.105,0.0246,0.0,0.103,0.455,147.974,4,hip-hop,2354
58,182000,False,0.552,0.564,7,-5.941,1,0.0415,0.0686,0.0131,0.34,0.321,164.952,4,electronic,1961
0,212773,False,0.461,0.00214,7,-34.268,1,0.0526,0.996,0.945,0.0818,0.234,84.3,3,classical,1981
37,196728,False,0.859,0.479,1,-6.749,1,0.159,0.109,0.122,0.125,0.734,95.994,4,electronic,3375
66,237373,False,0.793,0.386,10,-13.413,0,0.0819,0.597,0.31,0.0775,0.584,95.819,4,jazz,421
0,168146,False,0.258,0.175,0,-11.903,1,0.0323,0.939,0.000156,0.136,0.107,89.072,3,jazz,2892
41,150346,False,0.387,0.41,11,-8.124,0,0.031,0.608,0.00589,0.102,0.149,117.391,4,acoustic,2411
0,161973,False,0.604,0.225,1,-11.554,1,0.0344,0.566,0.0,0.148,0.674,138.46,3,jazz,1299
65,234013,False,0.631,0.684,5,-6.27,0,0.0405,0.0576,0.0,0.0938,0.528,129.974,4,rock,295
59,298466,False,0.437,0.652,0,-6.152,1,0.0288,0.0011,0.614,0.111,0.211,111.888,4,electronic,5421
41,190912,True,0.681,0.922,5,-3.592,1,0.0779,0.107,0.00167,0.0938,0.566,156.071,4,electronic,3294
0,231266,False,0.796,0.667,5,-4.831,0,0.0392,0.381,0.0,0.221,0.754,97.988,4,rock,703
34,308378,False,0.708,0.608,6,-4.667,1,0.0267,0.854,0.000881,0.346,0.549,135.046,4,classical,4661
63,150819,False,0.714,0.798,5,-4.239,0,0.0612,0.00248,0.000678,0.103,0.659,119.017,4,electronic,2463
26,317146,False,0.747,0.294,2,-10.272,1,0.0366,0.956,2.37e-05,0.104,0.412,119.948,4,acoustic,5939
0,135760,False,0.478,0.201,7,-16.79,1,0.0332,0.919,0.0,0.0854,0.857,136.47,4,jazz,4090
61,198995,False,0.41,0.449,11,-13.323,0,0.046,0.576,4.59e-06,0.757,0.235,139.449,4,hip-hop,4122
45,226213,False,0.424,0.161,0,-10.407,1,0.0339,0.866,0.00178,0.11,0.295,85.499,4,jazz,736
39,235199,False,0.768,0.485,1,-13.449,0,0.0685,0.142,1.92e-06,0.269,0.838,115.866,4,jazz,201
56,209640,False,0.509,0.791,8,-6.222,1,0.0925,0.216,0.0,0.0576,0.798,114.604,4,hip-hop,3095
58,620320,True,0.614,0.797,8,-4.243,1,0.315,0.197,0.0,0.113,0.608,133.007,4,hip-hop,3459
35,324340,False,0.467,0.526,8,-11.977,1,0.0366,0.476,0.0,0.0933,0.52,86.902,4,classical,3581
